run,S,H,D,head_start,heads_processed,layout,samples,median_us,q1_us,q3_us,time_over_hsd
Run3,8192,8,64,4,1,HSD,10,158.299480469,157.9826621095,158.87133789075,1.0
Run3,8192,8,64,4,1,SHD,10,161.2329101565,160.994873047,162.21077148475,1.018530886385786
Run3,8192,8,128,4,1,DSH,10,1992.80728125,1975.025390625,1996.953765625,4.488554736139756
Run3,8192,8,128,4,1,HSD,10,443.975265625,442.7395859375,446.88623828125,1.0
Run3,8192,8,128,4,1,SHD,10,469.0325546875,465.90787890625,471.50863281249997,1.0564384798041078
Run3,8192,32,64,16,1,DSH,10,2299.97396875,2276.262390625,2309.2487031250002,14.62654347736006
Run3,8192,32,64,16,1,HSD,10,157.2465820315,157.16040234375,157.37256054675,1.0
Run3,8192,32,64,16,1,SHD,10,169.084148438,168.6579589845,169.906494141,1.075280277978498
Run3,8192,32,128,16,1,DSH,10,5246.33325,5174.823,5262.8801875,11.820546421224064
Run3,8192,32,128,16,1,HSD,10,443.831703125,443.35547265625,445.609703125,1.0
